LG PONTE SARELA	A Ponte Sarela
LG CASTIÑEIRA PEQUENA	Lugar Castiñeira Pequena
LG CASTRO BANDO	Lugar Castro Bando
LG CASTRO BUSTO	Lugar Castro Busto
LG CASTRO CESAR	Lugar Castro Cesar
LG CAÑOTEIRA MARROZOS	Lugar Cañoteira Marrozos
LG CHORENTE	Lugar Chorente
LG CODESEDAS	Lugar Codesedas
LG CORREXINS	Lugar Correxins
LG CORTOS	Lugar Cortos
LG COSTA ARINS	Lugar Costa Arins
LG COVA (A)	Lugar Cova (A)
LG CURRAIS	Lugar Currais
LG DEVESA	Lugar Devesa
LG DIANS	Lugar Dians
LG EIREXE	Lugar Eirexe
LG EIXO ARRIBA	Lugar Eixo Arriba
LG ESCARABUÑA	Lugar Escarabuña
LG ESQUIPA	Lugar Esquipa
LG ESTACION DE VERDIA	Lugar Estacion de Verdia
LG FEANS	Lugar Feans
LG FIGUEIRA	Lugar Figueira
LG FOLGOSO	Lugar Folgoso
LG FONTE TORNO	Lugar Fonte Torno
LG FONTOADE	Lugar Fontoade
LG FORMARIS	Lugar Formaris
LG FORNAS	Lugar Fornas
LG FORTE	Lugar Forte
LG FRADES	Lugar Frades
LG FRAIS	Lugar Frais
LG FRENSA	Lugar Frensa
LG GAIOSO	Lugar Gaioso
LG GALLUFE	Lugar Gallufe
LG GAMAS	Lugar Gamas
LG GAMIL	Lugar Gamil
LG GOSENDE	Lugar Gosende
LG GRANXA DO XESTO	Lugar Granxa Do Xesto
LG GRANXA SAN LAZARO	Lugar Granxa San Lazaro
LG GUNIN	Lugar Gunin
LG IGREXA BARCIELA	Lugar Igrexa Barciela
LG IGREXA BUSTO	Lugar Igrexa Busto
LG IGREXA ENFESTA	Lugar Igrexa Enfesta
LG IGREXA FECHA	Lugar Igrexa Fecha
LG IGREXA GRIXOA	Lugar Igrexa Grixoa
LG IGREXA LARAÑO	Lugar Igrexa Laraño
LG IGREXARIO EIXO	Lugar Igrexario Eixo
LG INSUAS	Lugar Insuas
LG LAGOA	Lugar Lagoa
LG LAMAS CARBALLAL	Lugar Lamas Carballal
LG LAMAS DE LARAÑO	Lugar Lamas de Laraño
LG LAMASCAL	Lugar Lamascal
LG LAMEIRA MARANTES	Lugar Lameira Marantes
LG LAMELA	Lugar Lamela
LG LARANXOS	Lugar Laranxos
LG LARAÑIÑO	Lugar Larañiño
LG LAVACOLLA	Lugar Lavacolla
LG LERMO	Lugar Lermo
LG LOBIO	Lugar Lobio
LG LOBRA	Lugar Lobra
LG MALLOS	Lugar Mallos
LG MARANTES	Lugar Marantes
LG MARMANCOU	Lugar Marmancou
LG MARROCIÑOS	Lugar Marrociños
LG MARZO ABAIXO	Lugar Marzo Abaixo
