LG PONTE SARELA	A Ponte Sarela
RU SEVERINO RIVEIRO TOME	Rúa Severino Riveiro Tome
RU SEVILLA	Rúa Sevilla
RU SUNP 11 CASTIÑEIRIÑO B	Rúa Sunp 11 Castiñeiriño B
RU SUNP-20 AMAÑECIDA RUA B	Rúa Sunp-20 Amañecida Rua B
RU SUNP-20 AMAÑECIDA RUA C	Rúa Sunp-20 Amañecida Rua C
RU SUP-1 RUA A	Rúa Sup-1 Rua A
RU SUP-1 RUA B	Rúa Sup-1 Rua B
RU TOLEDO	Rúa Toledo
RU TOMAS BATUECAS MARUGAN	Rúa Tomas Batuecas Marugan
RU TOXEIRAS	Rúa Toxeiras
RU TRANSITO QUINTANA	Rúa Transito Quintana
RU TRANSVERSAL ENTRERRUAS	Rúa Transversal Entrerruas
RU TRAS PILAR	Rúa Tras do Pilar
RU TRAVESA	Rúa Travesa
RU UXIO NOVONEYRA	Rúa Uxio Novoneyra
RU VALENCIA	Rúa Valencia
RU VALLADOLID	Rúa Valladolid
RU VENTO MAREIRO	Rúa Vento Mareiro
RU VILLALDIA	Rúa Villaldia
RU VINTECINCO XULLO	Rúa Vintecinco Xullo
RU VIRXE RIAL	Rúa Virxe Rial
RU VIRXE FATIMA	Rúa Virxe de Fátima
RU VISTA ALEGRE	Rúa Vista Alegre
RU VITORIA-GASTEIZ	Rúa Vitoria-Gasteiz
RU VOCES CEIBES	Rúa Voces Ceibes
RU VOLTA CASTRO	Rúa Volta do Castro
RU VOLTA CASTRO ABAIXO	Rúa Volta do Castro de Abaixo
RU XESUS CARRO	Rúa Xesus Carro
RU XOAQUIN DIAZ RABAGO	Rúa Xoaquin Diaz Rabago
RU XOHANA TORRES	Rúa Xohana Torres
RU XOSE CASTRO GLEZ CHANE	Rúa Xose Castro Glez Chane
RU ESMORGA	Rúa d'A Esmorga
RU ACIBECHERIA	Rúa da Acibechería
RU AGRA GARRIDA	Rúa da Agra da Garrida
RU AGRA ARRIBA	Rúa da Agra de Arriba
RU AGRA VIEIRO	Rúa da Agra do Vieiro
RU AGRIÑA AMIO	Rúa da Agriña de Amio
RU AGRIÑA MEIXONFRIO	Rúa da Agriña do Meixonfrío
RU ALGALIA ARRIBA	Rúa da Algalia de Arriba
RU ALTIBOIA	Rúa da Altiboia
RU DA ANGUSTIA	Rúa da Angustia
RU ATALAIA	Rúa da Atalaia
RU BENEFICA CONXO	Rúa da Benéfica de Conxo
RU BROEIRA	Rúa da Broeira
RU BRUA	Rúa da Brúa
RU BURATA	Rúa da Burata
RU CALDEIRERIA	Rúa da Caldeirería
RU CAMPIÑA	Rúa da Campiña
RU CAÑEIRA	Rúa da Caneira
RU CANTALETA	Rúa da Cantaleta
RU CANTARRA	Rúa da Cantarra
RU CANTEIRA ABAIXO	Rúa da Canteira de Abaixo
RU CANTEIRA ARRIBA	Rúa da Canteira de Arriba
RU CARAMONIÑA	Rúa da Caramoniña
RU RUELA CARAMONIÑA	Rúa da Caramoniña
RU CARBALLA	Rúa da Carballa
RU CARBALLEIRA SAN LOURENZO	Rúa da Carballeira de San Lourenzo
RU CAROLLA	Rúa da Carolla
RU CARREIRA CONDE	Rúa da Carreira do Conde
RU CARRICOVA	Rúa da Carricova
RU CASCALLEIRA	Rúa da Cascalleira
RU CAÑOTEIRA	Rúa da Cañoteira
RU CHAPARRA	Rúa da Chaparra
RU CHOUPANA	Rúa da Choupana
RU CIMA DA EIRA	Rúa da Cima da Eira
RU CODESEIRA AMIO	Rúa da Codeseira de Amio
RU DA CODESEIRA DE VIDAN	Rúa da Codeseira de Vidán
RU COMPAÑIA FILLAS CARIDADE	Rúa da Compañía das Fillas da Caridade
RU DA COMUNIDADE VALENCIANA	Rúa da Comunidade Valenciana
RU CONGA	Rúa da Conga
RU CORREDOIRA FRAGUAS	Rúa da Corredoira das Fraguas
RU COSTIÑA MONTE	Rúa da Costiña do Monte
RU NOGUEIRA CONXO	Rúa da Cruz da Nogueira
RU DA CRUZ DA NOGUEIRA	Rúa da Cruz da Nogueira
RU CRUZ OUTENIN	Rúa da Cruz de Outenín
RU CRUZ SAN PEDRO	Rúa da Cruz de San Pedro
RU CURUXA	Rúa da Curuxa
RU DECOITA (DA)	Rúa da Decoita
RU DEVESA	Rúa da Devesa
RU DIVINA PASTORA	Rúa da Divina Pastora
RU EIRA NOVA	Rúa da Eira Nova
RU EIRA VEDRA	Rúa da Eira Vedra
RU EIRA VELLA	Rúa da Eira Vella
RU ENFESTA	Rúa da Enfesta
RU ENSINANZA	Rúa da Ensinanza
RU ESCURRIDIA	Rúa da Escurridía
RU ESPIÑEIRA	Rúa da Espiñeira
RU ESTACION CASAL	Rúa da Estación do Casal
RU ESTRADA	Rúa da Estrada
RU FERVENZA	Rúa da Fervenza
RU FONTE MIRON	Rúa da Fonte Mirón
RU FONTE LERMO	Rúa da Fonte de Lermo
RU FONTE MALLOU	Rúa da Fonte de Mallou
RU FONTE SAN MIGUEL	Rúa da Fonte de San Miguel
RU FTE SAN MIGUEL	Rúa da Fonte de San Miguel
RU FONTE SANTO ANTONIO	Rúa da Fonte de Santo Antonio
RU FONTE OURO	Rúa da Fonte do Ouro
RU FONTE CONCHEIROS	Rúa da Fonte dos Concheiros
RU FONTECOVA	Rúa da Fontecova
RU FOXEIRA	Rúa da Foxeira
RU GRABANXA	Rúa da Grabanxa
RU GRANXA CASTIÑEIRIÑO	Rúa da Granxa do Castiñeiriño
RU MARIÑEIRA	Rúa da Mariñeira
RU MEDORRA	Rúa da Medorra
RU DA MIRA	Rúa da Mira
RU LAMAS AMIO	Rúa da Mira
RU MUIÑA	Rúa da Muiña
RU NOGUEIRA MALLOU	Rúa da Nogueira de Mallou
RU OBRIGADA	Rúa da Obrigada
RU OLIVEIRA	Rúa da Oliveira
RU PENA	Rúa da Pena
RU PENA CORVEIRA	Rúa da Pena Corveira
RU PENA MARIA	Rúa da Pena María
RU PIAXE	Rúa da Piaxe
RU PONTE MUNIN	Rúa da Ponte Munín
RU PONTE NOVA VIDAN	Rúa da Ponte Nova de Vidán
RU PONTEPEDRIÑA ARRIBA	Rúa da Ponte Pedriña de Arriba
RU PONTE PEQUENA	Rúa da Ponte Pequena
RU PONTE PEREDA	Rúa da Ponte Pereda
RU PONTE VELLA	Rúa da Ponte Vella
RU PONTE VELLA ARRIBA	Rúa da Ponte Vella de Arriba
RU PONTE ASEN	Rúa da Ponte da Asén
RU PONTE ROCHA	Rúa da Ponte da Rocha
RU PONTE S LAZARO ABAIXO	Rúa da Ponte de San Lázaro de Abaixo
RU PONTE SAR	Rúa da Ponte de Sar
RU PONTE DO ROMAÑO	Rúa da Ponte do Romaño
RU PONTE VISO	Rúa da Ponte do Viso
RU PORTA PENA	Rúa da Porta da Pena
RU POZA REAL ABAIXO	Rúa da Poza Real de Abaixo
RU POZA REAL ARRIBA	Rúa da Poza Real de Arriba
RU POZA BAR	Rúa da Poza de Bar
RU PRESA	Rúa da Presa
RU PULLEIRA	Rúa da Pulleira
RU PIA	Rúa da Pía
RU QUEIMADA	Rúa da Queimada
RU QUENLLA	Rúa da Quenlla
RU RAIOLA	Rúa da Raiola
RU RAPA FOLLA	Rúa da Rapa da Folla
RU RAPADA	Rúa da Rapada
RU RAXEIRA	Rúa da Raxeira
RU RAIÑA	Rúa da Raíña
RU REPUBLICA ARXENTINA	Rúa da República Arxentina
RU REPUBLICA CHECA	Rúa da República Checa
RU REPUBLICA DE EL SALVADOR	Rúa da República de El Salvador
RU REVOLTA	Rúa da Revolta
RU RIBEIRA DE SAN LOURENZO	Rúa da Ribeira de San Lourenzo
RU RIBEIRA VISO	Rúa da Ribeira do Viso
RU DA RIOXA	Rúa da Rioxa
RU ROSA	Rúa da Rosa
RU SENRA	Rúa da Senra
RU SERRADURA	Rúa da Serradura
RU SOMBRA	Rúa da Sombra
RU RUELA TAFONA	Rúa da Tafona
RU TORREIRA	Rúa da Torreira
RU TORREIRA ARRIBA	Rúa da Torreira de Arriba
RU TRINIDADE	Rúa da Trindade
RU TRISCA	Rúa da Trisca
RU TROIA	Rúa da Troia
RU DA TUNA COMPOSTELA	Rúa da Tuna Compostela
RU VEIGUIÑA	Rúa da Veiguiña
RU VESADA	Rúa da Vesada
RU VIRXE BRANCA	Rúa da Virxe Branca
RU VIRXE CERCA	Rúa da Virxe da Cerca
RU VIA	Rúa da Vía
RU XUNLLA	Rúa da Xunlla
RU PONTE SAN LAZARO	Rúa da ponte de San Lazaro
RU AMEAS	Rúa das Ameas
RU ARRIBADAS	Rúa das Arribadas
RU BALEIXAS	Rúa das Baleixas
RU BARREIRAS	Rúa das Barreiras
RU BRAÑAS SAR	Rúa das Brañas de Sar
RU CAMPAS SAN XOAN	Rúa das Campás de San Xoán
RU CANCELAS	Rúa das Cancelas
RU CANTEIRAS SAR	Rúa das Canteiras de Sar
RU CARRETAS	Rúa das Carretas
RU DAS CASAS NOVAS	Rúa das Casas Novas
LG CASAS NOVAS	Rúa das Casas Novas
RU CASAS REAIS	Rúa das Casas Reais
RU CASAS HEDRA	Rúa das Casas da Hedra
RU CASAS AGRO	Rúa das Casas do Agro
LG CASAS REGO	Rúa das Casas do Rego
RU CASAS VENTO	Rúa das Casas do Vento
RU CERDEIRAS	Rúa das Cerdeiras
RU CONDOMIÑAS	Rúa das Condomiñas
RU COVAS PORTO	Rúa das Covas do Porto
RU ESPIÑAS	Rúa das Espiñas
RU ESTRELAS	Rúa das Estrelas
RU RUEIRO FIGUEIRIÑAS	Rúa das Figueiriñas
RU FONTES SAR	Rúa das Fontes de Sar
RU FONTIÑAS	Rúa das Fontiñas
RU GALERAS	Rúa das Galeras
RU HORTAS	Rúa das Hortas
RU HORTIÑAS	Rúa das Hortiñas
RU LARANXEIRAS	Rúa das Laranxeiras
RU LETRAS GALEGAS	Rúa das Letras Galegas
RU MULAS	Rúa das Mulas
RU OBLATAS	Rúa das Oblatas
RU ORFAS	Rúa das Orfas
RU PEDREIRAS	Rúa das Pedreiras
RU PENAS	Rúa das Penas
RU PEREIRIÑAS	Rúa das Pereiriñas
RU POZAS	Rúa das Pozas
RU RODAS	Rúa das Rodas
RU SALVADAS	Rúa das Salvadas
RU SANTAS MARIÑAS	Rúa das Santas Mariñas
RU TABANISCAS	Rúa das Tabaniscas
RU TORNAS	Rúa das Tornas
RU TRECE ROSAS	Rúa das Trece Rosas
RU TROMPAS	Rúa das Trompas
RU ABELARDO MORALEJO LASO	Rúa de Abelardo Moralejo Laso
RU ABRIL ARES	Rúa de Abril Ares
RU AFONSO X, O SABIO	Rúa de Afonso X o Sabio
RU AGUSTIN SIXTO SECO	Rúa de Agustín Sixto Seco
RU ALEJANDRO PEREZ LUGIN	Rúa de Alejandro Pérez Lugín
RU ALEXANDRE BOVEDA	Rúa de Alexandre Bóveda
RU ALFREDO BRAÑAS	Rúa de Alfredo Brañas
RU ALFREDO VICENTI	Rúa de Alfredo Vicenti
RU ALLER ULLOA	Rúa de Aller Ulloa
RU ALTAMIRA	Rúa de Altamira
RU PORTO AMIO	Rúa de Amio
RU AMIO	Rúa de Amio
RU AMOR RUIBAL	Rúa de Amor Ruibal
RU DE ANDALUCIA	Rúa de Andalucia
RU ANNE FRANK	Rúa de Anne Frank
RU ANTOLIN FARALDO	Rúa de Antolín Faraldo
RU ANTONIO CASARES	Rúa de Antonio Casares
RU ANTONIO GOMEZ VILASO	Rúa de Antonio Gómez Vilasó
RU ANTONIO MACHADO ALVAREZ	Rúa de Antonio Machado Álvarez
RU ANTONIO RAMA SEOANE	Rúa de Antonio Rama Seoane
RU ANTON VILAR PONTE	Rúa de Antón Vilar Ponte
RU ANXO CASAL	Rúa de Anxo Casal
RU ARZUA	Rúa de Arzúa
RU ASTORGA	Rúa de Astorga
RU ATENAS	Rúa de Atenas
RU AVELINO POUSA ANTELO	Rúa de Avelino Pousa Antelo
RU BELGRADO	Rúa de Belgrado
RU BERLIN	Rúa de Berlín
RU BERMEJO	Rúa de Bermejo
RU BERNA	Rúa de Berna
RU BERNAL BONAVAL	Rúa de Bernal de Bonaval
RU BERNARDO BARREIRO V V	Rúa de Bernardo Barreiro de Vázquez-Varela
RU BETANZOS	Rúa de Betanzos
RU BLANCO AMOR	Rúa de Blanco Amor
RU BLANCO NAJERA	Rúa de Blanco Nájera
RU BOIRO	Rúa de Boiro
RU BOISACA	Rúa de Boisaca
RU BONAVAL	Rúa de Bonaval
RU BOQUEIXON	Rúa de Boqueixón
RU BRION	Rúa de Brión
RU BRUXELAS	Rúa de Bruxelas
RU DE BUDAPEST	Rúa de Budapest
RU CANFRANC	Rúa de Canfranc
RU CARMEN LAFORET	Rúa de Carmen Laforet
RU DE CASTELA-A MANCHA	Rúa de Castela A Mancha
RU DE CASTELA E LEON	Rúa de Castela e León
RU CELSO EMILIO FERREIRO	Rúa de Celso Emilio Ferreiro
RU CENTIEIRA	Rúa de Centieira
RU CLARA CAMPOAMOR	Rúa de Clara Campoamor
RU CONCEPCION ARENAL	Rúa de Concepción Arenal
RU CONCEPCION PEREZ IGLESIAS	Rúa de Concepción Pérez Iglesias
RU CONSTANTINO CANDEIRA	Rúa de Constantino Candeira
RU CONSTANTINO LIMIA NOGUEIR	Rúa de Constantino Limia Nogueira
RU CONXO ARRIBA	Rúa de Conxo de Arriba
RU COTAREDO	Rúa de Cotaredo
RU CURROS ENRIQUEZ	Rúa de Curros Enríquez
RU CACERES	Rúa de Cáceres
RU DIEGO BERNAL	Rúa de Diego Bernal
RU DIEGO MUROS	Rúa de Diego de Muros
RU DOLORES RODEIRO BOADO	Rúa de Dolores Rodeiro Boado
RU DOMINGO GARCIA SABELL	Rúa de Domingo García-Sabell
RU DUBLIN	Rúa de Dublín
RU EDUARDO PONDAL	Rúa de Eduardo Pondal
RU EMILIA PARDO BAZAN	Rúa de Emilia Pardo Bazán
RU EMILIO E MANUEL	Rúa de Emilio e Manuel
RU ENTREGALERAS	Rúa de Entregaleras
RU ENTREMUROS	Rúa de Entremuros
RU ENTREPEXIGOS	Rúa de Entrepexigos
RU ENTRERRIOS	Rúa de Entrerríos
RU ESLOVAQUIA	Rúa de Eslovaquia
RU ESLOVENIA	Rúa de Eslovenia
RU ESTOCOLMO	Rúa de Estocolmo
RU ESTONIA	Rúa de Estonia
RU DE ESTREMADURA	Rúa de Estremadura
RU FELIPE R CORDERO CARRETE	Rúa de Felipe Ramón Cordero Carrete
RU DE FERNANDO III O SANTO	Rúa de Fernando III o Santo
RU FERROL	Rúa de Ferrol
RU FOZAN	Rúa de Fozán
RU GARCIA BLANCO	Rúa de García Blanco
RU GARCIA LORCA	Rúa de García Lorca
RU GARCIA PRIETO	Rúa de García Prieto
BO GUADALUPE	Rúa de Guadalupe
RU GUMERSINDO BUSTO VILLANUE	Rúa de Gumersindo Busto Villanueva
RU GOMEZ ULLA	Rúa de Gómez Ulla
RU HILARIO SAINZ SAINZ-PARDO	Rúa de Hilario Sainz Sainz-Pardo
RU ISAAC DIAZ PARDO	Rúa de Isaac Díaz Pardo
RU ISIDORO MILLAN GONZALEZ-P	Rúa de Isidoro Millán González-Pardo
RU ISIDRO PARGA PONDAL	Rúa de Isidro Parga Pondal
RU JACA	Rúa de Jaca
RU JOSE ANTONIO SOUTO PAZ	Rúa de José Antonio Souto Paz
RU JOSE MARIA LACARRA	Rúa de José María Lacarra
RU JOSE MARIA SUAREZ NUÑEZ	Rúa de José María Suárez Núñez
RU JOSE PASTOR HORTA	Rúa de José Pastor Horta
RU JOSE VILLAR GRANJEL	Rúa de José Villar Granjel
RU JOSE ANGEL VALENTE	Rúa de José Ángel Valente
RU JUAN URIA RIU	Rúa de Juan Uría Ríu
RU JULIA MINGUILLON	Rúa de Julia Minguillón
RU LAVERDE RUIZ	Rúa de Laverde Ruiz
RU LE PUY EN VELAY	Rúa de Le Puyen Velay
RU LETONIA	Rúa de Letonia
RU LISBOA	Rúa de Lisboa
RU LITUANIA	Rúa de Lituania
RU LONDRES	Rúa de Londres
RU LOPE GOMEZ MARZOA	Rúa de Lope Gómez de Marzoa
RU LUIS FREIRE	Rúa de Luís Freire
RU LUIS VAZQUEZ PARGA	Rúa de Luís Vázquez Parga
RU LOPEZ FERREIRO	Rúa de López Ferreiro
RU MADRID	Rúa de Madrid
RU MALLOU DE ABAIXO (DE)	Rúa de Mallou de Abaixo
RU DE MALTA	Rúa de Malta
RU MANUEL CAEIRO QUINTAS	Rúa de Manuel Caeiro Quintáns
RU MANUEL CERUELO	Rúa de Manuel Ceruelo
RU MANUEL COLMEIRO	Rúa de Manuel Colmeiro
RU MANUEL MARIA	Rúa de Manuel María
RU MARIANA PINEDA	Rúa de Mariana Pineda
RU MARUXA MALLO	Rúa de Maruxa Mallo
RU MARIA CASARES	Rúa de María Casares
RU MARIA MARIÑO	Rúa de María Mariño
RU MARIA ZAMBRANO	Rúa de María Zambrano
RU MAZARELOS	Rúa de Mazarelos
RU MELIDE	Rúa de Melide
RU MIGUEL FERRO CAAVEIRO	Rúa de Miguel Ferro Caaveiro
RU MODESTO BROCOS	Rúa de Modesto Brocos
RU MONTERO RIOS	Rúa de Montero Ríos
RU MOSCOVA	Rúa de Moscova
RU MOURONZON	Rúa de Mourozón
RU MUNIN	Rúa de Munín
RU DE MURCIA	Rúa de Murcia
RU MUROS	Rúa de Muros
RU MONACO	Rúa de Mónaco
RU NEGREIRA	Rúa de Negreira
RU NEIRA MOSQUERA	Rúa de Neira de Mosquera
RU NOIA	Rúa de Noia
RU ORDES	Rúa de Ordes
RU OTERO PEDRAIO	Rúa de Otero Pedraio
RU OURENSE	Rúa de Ourense
RU OVIEDO	Rúa de Oviedo
RU PADRON	Rúa de Padrón
RU PAI CANA	Rúa de Pai da Cana
RU PALAS REI	Rúa de Palas de Rei
RU PAMPLONA	Rúa de Pamplona
RU PARIS	Rúa de París
RU PASTORIZA	Rúa de Pastoriza
RU PAULO COELHO	Rúa de Paulo Coelho
RU PEDRA ALBEIRA	Rúa de Pedra Albeira
RU PEDRO CABEZAS GONZALEZ	Rúa de Pedro Cabezas González
RU PICAÑOS	Rúa de Picaños
RU PILAR MIRO	Rúa de Pilar Miró
RU POLONIA	Rúa de Polonia
RU PONFERRADA	Rúa de Ponferrada
RU PORTOMARIN	Rúa de Portomarín
RU PRAGA	Rúa de Praga
RU PUENTE REINA	Rúa de Puente La Reina
RU PEREZ CONSTANTI	Rúa de Pérez Costanti
RU RAMON BALTAR	Rúa de Ramón Baltar
RU RAMON CABANILLAS	Rúa de Ramón Cabanillas
RU RAMON PIÑEIRO	Rúa de Ramón Piñeiro
RU RAMON VALLE INCLAN	Rúa de Ramón del Valle-Inclán
RU REDONDELO	Rúa de Redondelo
RU RIANXO	Rúa de Rianxo
RU RICARDO BESCANSA	Rúa de Ricardo Bescansa
RU DE RIGA	Rúa de Riga
RU RODRIGUEZ CARRACIDO	Rúa de Rodríguez Carracido
RU ROMA	Rúa de Roma
RU RUBIALA	Rúa de Rubiá
RU SAN BIEITO	Rúa de San Bieito
RU SAN CLEMENTE	Rúa de San Clemente
RU SAN CRISTOVO	Rúa de San Cristovo
RU SAN FRANCISCO	Rúa de San Francisco
RU SAN LOURENZO	Rúa de San Lourenzo
RU SAN LAZARO	Rúa de San Lázaro
RU SAN MARCOS	Rúa de San Marcos
RU SAN MARTIÑO	Rúa de San Martiño
RU SAN MIGUEL AGROS	Rúa de San Miguel dos Agros
RU SAN PAIO ANTEALTARES	Rúa de San Paio de Antealtares
RU SAN PAIO MONTE	Rúa de San Paio do Monte
RU SAN PEDRO	Rúa de San Pedro
RU SAN PEDRO DE MEZONZO	Rúa de San Pedro de Mezonzo
RU SAN ROQUE	Rúa de San Roque
RU SAN ROQUE LARAÑO	Rúa de San Roque de Laraño
RU SAN XOAN	Rúa de San Xoán
RU SANTA CLARA	Rúa de Santa Clara
RU SANTA CRISTINA	Rúa de Santa Cristina
RU SANTA MARTA ABAIXO	Rúa de Santa Marta de Abaixo
RU SANTA MARTA DE ARRIBA	Rúa de Santa Marta de Arriba
RU SANTA TERESA JORNET	Rúa de Santa Teresa Jornet
RU SANTA UXIA RIBEIRA	Rúa de Santa Uxía de Ribeira
RU SANTIAGO LEON CARACAS	Rúa de Santiago León de Caracas
RU SANTIAGO CHILE	Rúa de Santiago de Chile
RU SANTIAGO GUAYAQUIL	Rúa de Santiago de Guayaquil
RU SANTIAGO QUERETARO	Rúa de Santiago de Querétaro
RU SANTIAGO DEL ESTERO (DE)	Rúa de Santiago del Estero
RU SANTIAGO DO CAÇEM	Rúa de Santiago do Caçem
RU SANTO AGOSTIÑO	Rúa de Santo Agostiño
RU SANTO DOMINGO CALZADA	Rúa de Santo Domingo de la Calzada
RU SAR	Rúa de Sar
RU SARELA ABAIXO	Rúa de Sarela de Abaixo
LG SARELA ABAIXO	Rúa de Sarela de Abaixo
RU SECUNDINO LOPEZ	Rúa de Secundino López
RU SENANDE	Rúa de Senande
RU SEOANE	Rúa de Seoane
RU SERAFIN ZAS	Rúa de Serafín Zas
RU SOMPORT	Rúa de Somport
RU SUARRIBAS	Rúa de Suarribas
RU SANCHEZ FREIRE	Rúa de Sánchez Freire
RU REGO CEBRO	Rúa de Teo
RU TEO	Rúa de Teo
RU TERESA CLARAMUNT	Rúa de Teresa Claramunt
RU TOMIÑO	Rúa de Tomiño
RU TORRENTE	Rúa de Torrente
RU TOURO	Rúa de Touro
RU TRAS SALOME	Rúa de Tras Salomé
RU TRAS SANTA CLARA	Rúa de Tras Santa Clara
RU TRAS SANTA ISABEL	Rúa de Tras Santa Isabel
RU TRAS COSTA SANTA ISABEL	Rúa de Tras da Costa de Santa Isabel
RU TRIACASTELA	Rúa de Triacastela
RU TUI	Rúa de Tui
RU ULPIANO VILLANUEVA	Rúa de Ulpiano Villanueva
RU VARELA MONTES	Rúa de Varela Montes
RU VARSOVIA	Rúa de Varsovia
RU VEDRA	Rúa de Vedra
RU DE VICENTE RISCO	Rúa de Vicente Risco
RU DE VICTORIA KENT	Rúa de Victoria Kent
RU DE VIDAN	Rúa de Vidán
RU VIENA	Rúa de Viena
RU VILLAFRANCA BIERZO	Rúa de Vilafranca do Bierzo
RU VITE ABAIXO	Rúa de Vite de Abaixo
RU VITE ARRIBA	Rúa de Vite de Arriba
RU XELMIREZ	Rúa de Xelmírez
RU XOANA NOGUEIRA	Rúa de Xoana Nogueira
RU XOSE PASIN	Rúa de Xose Pasín
RU XOSE CHAO REGO	Rúa de Xosé Chao Rego
RU XOSE COUSO	Rúa de Xosé Couso
RU XUBRIS	Rúa de Xubrís
RU ZARAGOZA	Rúa de Zaragoza
RU ANGEL RODRIGUEZ GONZALEZ	Rúa de Ángel Rodríguez González
RU AGRO SENRA	Rúa do Agro da Senra
RU AGRO DAS BARREIRAS (DO)	Rúa do Agro das Barreiras
RU AGRO MOZOS	Rúa do Agro dos Mozos
RU AL RAIMUNDO LOPEZ POL	Rúa do Alcalde Raimundo López Pol
RU AMENEIRAL VISO	Rúa do Ameneiral do Viso
RU AVIO	Rúa do Avío
RU AVIO ABAIXO	Rúa do Avío de Abaixo
RU BANQUETE CONXO	Rúa do Banquete de Conxo
RU BIDUEIRO	Rúa do Bidueiro
RU BISPO DIEGO PELAEZ	Rúa do Bispo Diego Peláez
RU BISPO TEODOMIRO	Rúa do Bispo Teodomiro
RU CAMPIÑO GUADALUPE	Rúa do Campiño de Guadalupe
RU CAMPIÑO SAN FRANCISCO	Rúa do Campiño de San Francisco
RU CAMPIÑO CARME	Rúa do Campiño do Carme
RU CAMPO ANGUSTIA	Rúa do Campo da Angustia
RU CAMPO ESTRELA	Rúa do Campo da Estrela
RU CAMPO FONTE	Rúa do Campo da Fonte
RU CAMPO SANTA MARTA	Rúa do Campo de Santa Marta
RU CAMPO SANTO ANTONIO	Rúa do Campo de Santo Antonio
RU CAMPO AMO	Rúa do Campo do Amo
RU CAMPO CRUCEIRO GAIO	Rúa do Campo do Cruceiro do Gaio
RU CAMPO FORNO	Rúa do Campo do Forno
RU CANIZO	Rúa do Canizo
RU CANTEIRO	Rúa do Canteiro
RU CARBALLO ALDREI	Rúa do Carballo de Aldrei
RU CARDEAL PAYA	Rúa do Cardeal Payá
RU CALZADA CARME ABAIXO	Rúa do Carme de Abaixo
RU CARME ABAIXO	Rúa do Carme de Abaixo
RU CASAL HORTA	Rúa do Casal da Horta
RU CASTIÑEIRIÑO	Rúa do Castiñeiriño
LG OUTEIRO CASTIÑEIRIÑO	Rúa do Castiñeiriño
RU CASTRO	Rúa do Castro
RU CASTRON DOURO	Rúa do Castrón d'Ouro
RU CEO	Rúa do Ceo
RU CHURRUCHAO	Rúa do Churruchao
RU CHICHARO	Rúa do Chícharo
RU COMBARRO	Rúa do Combarro
RU CORGO	Rúa do Corgo
RU COTO	Rúa do Coto
RU COTO VEIGA	Rúa do Coto da Veiga
LG COTO OLMOS	Rúa do Coto dos Olmos
RU COTO OLMOS	Rúa do Coto dos Olmos
RU COTTOLENGO	Rúa do Cotolengo
RU COTON	Rúa do Cotón
RU CRUCEIRO DE SAR (DO)	Rúa do Cruceiro de Sar
RU CRUCEIRO GAIO	Rúa do Cruceiro do Gaio
RU CUBEIRO	Rúa do Cubeiro
RU CUBELO	Rúa do Cubelo
RU CURRO PARRA	Rúa do Curro da Parra
RU DOIRO	Rúa do Doiro
RU DOUTOR DANIEL MTNEZ MORAN	Rúa do Doutor Daniel Martínez Morán
RU DOUTOR TEIXEIRO	Rúa do Doutor Teixeiro
RU EMPEDRADO	Rúa do Empedrado
RU ESCULTOR ASOREY	Rúa do Escultor Asorey
RU ESCULTOR CAMILO OTERO	Rúa do Escultor Camilo Otero
RU ESCULTOR FERREIRO	Rúa do Escultor Ferreiro
RU ESCULTOR JESUS LANDEIRA	Rúa do Escultor Jesús Landeira
RU ES XOSE EIROA	Rúa do Escultor Xosé Eiroa
RU ESPIRITO SANTO	Rúa do Espírito Santo
RU ESQUIO	Rúa do Esquilo
RU FRANCO	Rúa do Franco
RU FRANCES	Rúa do Francés
RU GAIAS	Rúa do Gaiás
RU HOME SANTO	Rúa do Home Santo
RU HOSPICIO	Rúa do Hospicio
RU HOSPITALIÑO	Rúa do Hospitaliño
RU HORREO	Rúa do Hórreo
RU LAVADOIRO	Rúa do Lavadoiro
RU LIMPADOIRO	Rúa do Limpadoiro
RU LINDEIRO	Rúa do Lindeiro
RU MEDIO	Rúa do Medio
RU MEIXONFRIO	Rúa do Meixonfrío
RU MERLO	Rúa do Merlo
RU MIÑATO	Rúa do Miñato
RU MONTEPIO	Rúa do Monte Pío
RU MONTE CONXO	Rúa do Monte de Conxo
RU MONTE SEIXO	Rúa do Monte do Seixo
RU MONTE POSTES	Rúa do Monte dos Postes
RU MORCEGO	Rúa do Morcego
RU MOUCHO	Rúa do Moucho
RU MUINEIRO BRETEMAS	Rúa do Muiñeiro de Brétemas
RU OBRADOIRO C.A.B.	Rúa do Obradoiro C.A.B.
RU OLVIDO	Rúa do Olvido
RU OUTEIRO VELLO	Rúa do Outeiro Vello
RU OUTEIRO SAR	Rúa do Outeiro de Sar
RU PATIO MADRES	Rúa do Patio de Nais
RU DO PAIS VASCO	Rúa do País Vasco
RU PEDROSIÑO	Rúa do Pedrosiño
RU PENEDO	Rúa do Penedo
RU PEREGRINO	Rúa do Peregrino
RU RUELA PEREIRO	Rúa do Pereiro
RU PICO SACRO	Rúa do Pico Sacro
RU PINO	Rúa do Pino
RU CARLOS MASIDE	Rúa do Pintor Carlos Maside
RU PINTOR JUAN LUIS	Rúa do Pintor Juan Luis
RU PINTOR LAXEIRO	Rúa do Pintor Laxeiro
RU PINTOR LINO VILLAFINEZ	Rúa do Pintor Lino Villafínez
RU PINTOR URBANO LUGRIS	Rúa do Pintor Urbano Lugrís
